"instant","dteday","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","atemp","hum","windspeed","casual","registered","rentals"
78,"2011-03-19","Winter",0,3,"No",6,"No","Clear",14.2075,0.466525,37.9167,24.667189,1424,1693,3117
79,"2011-03-20","Winter",0,3,"No",0,"No","Clear",7.6275,0.32575,47.375,13.917307,1047,1424,2471
80,"2011-03-21","Spring",0,3,"No",1,"Yes","Few Clouds",12.230445,0.409735,73.7391,19.348461,401,1676,2077
81,"2011-03-22","Spring",0,3,"No",2,"Yes","Clear",12.758349,0.440642,62.4583,15.12525,460,2243,2703
82,"2011-03-23","Spring",0,3,"No",3,"Yes","Few Clouds",8.306979,0.337939,83.9565,15.695487,203,1918,2121
83,"2011-03-24","Spring",0,3,"No",4,"Yes","Few Clouds",5.395,0.270833,80.5833,16.333729,166,1699,1865
84,"2011-03-25","Spring",0,3,"No",5,"Yes","Clear",4.415849,0.256312,49.5,15.458575,300,1910,2210
85,"2011-03-26","Spring",0,3,"No",6,"No","Clear",4.494151,0.257571,39.4167,14.041257,981,1515,2496
86,"2011-03-27","Spring",0,3,"No",0,"No","Few Clouds",3.893021,0.250339,49.3913,12.3481,472,1221,1693
87,"2011-03-28","Spring",0,3,"No",1,"Yes","Clear",4.424356,0.257574,30.2174,14.217668,222,1806,2028
88,"2011-03-29","Spring",0,3,"No",2,"Yes","Clear",6.2175,0.292908,31.4167,15.208732,317,2108,2425
89,"2011-03-30","Spring",0,3,"No",3,"Yes","Few Clouds",6.1,0.29735,64.6667,11.583496,168,1368,1536
90,"2011-03-31","Spring",0,3,"No",4,"Yes","Partly Cloudy",4.611651,0.257575,91.8333,14.582282,179,1506,1685
91,"2011-04-01","Spring",0,4,"No",5,"Yes","Few Clouds",6.1,0.283454,68.625,17.333436,307,1920,2227
92,"2011-04-02","Spring",0,4,"No",6,"No","Few Clouds",6.805,0.315637,65.375,13.208782,898,1354,2252
93,"2011-04-03","Spring",0,4,"No",0,"No","Clear",9.781651,0.378767,48,12.208271,1651,1598,3249
94,"2011-04-04","Spring",0,4,"No",1,"Yes","Clear",18.946651,0.542929,42.625,25.833257,734,2381,3115
95,"2011-04-05","Spring",0,4,"No",2,"Yes","Few Clouds",11.465849,0.39835,64.2083,26.000489,167,1628,1795
96,"2011-04-06","Spring",0,4,"No",3,"Yes","Clear",10.369151,0.387608,47.0833,17.625221,413,2395,2808
97,"2011-04-07","Spring",0,4,"No",4,"Yes","Clear",12.5625,0.433696,60.2917,10.874904,571,2570,3141
98,"2011-04-08","Spring",0,4,"No",5,"Yes","Few Clouds",7.784151,0.324479,83.625,15.208464,172,1299,1471
99,"2011-04-09","Spring",0,4,"No",6,"No","Few Clouds",8.0975,0.341529,87.75,8.916561,879,1576,2455
100,"2011-04-10","Spring",0,4,"No",0,"No","Few Clouds",12.053349,0.426737,85.75,9.833389,1188,1707,2895
101,"2011-04-11","Spring",0,4,"No",1,"Yes","Few Clouds",19.995644,0.565217,71.6956,21.739758,855,2493,3348
102,"2011-04-12","Spring",0,4,"No",2,"Yes","Few Clouds",15.6175,0.493054,73.9167,18.416893,257,1777,2034
103,"2011-04-13","Spring",0,4,"No",3,"Yes","Few Clouds",11.3875,0.417283,81.9167,16.791339,209,1953,2162
104,"2011-04-14","Spring",0,4,"No",4,"Yes","Clear",13.9725,0.462742,54.0417,7.4169,529,2738,3267
105,"2011-04-15","Spring",0,4,"Yes",5,"No","Clear",12.993349,0.441913,67.125,15.167125,642,2484,3126
106,"2011-04-16","Spring",0,4,"No",6,"No","Partly Cloudy",12.249151,0.425492,88.8333,22.834136,121,674,795
107,"2011-04-17","Spring",0,4,"No",0,"No","Clear",13.463349,0.445696,47.9583,20.334232,1558,2186,3744
108,"2011-04-18","Spring",0,4,"No",1,"Yes","Clear",16.0875,0.503146,54.25,10.958989,669,2760,3429
109,"2011-04-19","Spring",0,4,"No",2,"Yes","Few Clouds",15.774151,0.489258,66.5833,10.584057,409,2795,3204
110,"2011-04-20","Spring",0,4,"No",3,"Yes","Clear",19.965,0.564392,61.4167,16.208975,613,3331,3944
111,"2011-04-21","Spring",0,4,"No",4,"Yes","Clear",13.580849,0.453892,40.7083,21.792286,745,3444,4189
112,"2011-04-22","Spring",0,4,"No",5,"Yes","Few Clouds",7.823349,0.321954,72.9583,14.707907,177,1506,1683
113,"2011-04-23","Spring",0,4,"No",6,"No","Few Clouds",13.62,0.450121,88.7917,15.458575,1462,2574,4036
114,"2011-04-24","Spring",0,4,"No",0,"No","Few Clouds",19.338349,0.551763,81.0833,12.875725,1710,2481,4191
115,"2011-04-25","Spring",0,4,"No",1,"Yes","Clear",20.513349,0.5745,77.6667,12.417311,773,3300,4073
116,"2011-04-26","Spring",0,4,"No",2,"Yes","Clear",21.688349,0.594083,72.9167,21.8755,678,3722,4400
117,"2011-04-27","Spring",0,4,"No",3,"Yes","Few Clouds",21.14,0.575142,83.5417,20.9174,547,3325,3872
118,"2011-04-28","Spring",0,4,"No",4,"Yes","Few Clouds",21.0225,0.578929,70.0833,21.500836,569,3489,4058
119,"2011-04-29","Spring",0,4,"No",5,"Yes","Clear",15.97,0.497463,45.7083,16.084221,878,3717,4595
120,"2011-04-30","Spring",0,4,"No",6,"No","Clear",14.2075,0.464021,50.3333,15.750025,1965,3347,5312
121,"2011-05-01","Spring",0,5,"No",0,"No","Few Clouds",13.228349,0.448204,76.2083,7.125718,1138,2213,3351
122,"2011-05-02","Spring",0,5,"No",1,"Yes","Few Clouds",17.810849,0.532833,73,12.291418,847,3554,4401
123,"2011-05-03","Spring",0,5,"No",2,"Yes","Few Clouds",20.983349,0.582079,69.7083,22.958689,603,3848,4451
124,"2011-05-04","Spring",0,5,"No",3,"Yes","Few Clouds",11.465849,0.40465,73.7083,22.042732,255,2378,2633
125,"2011-05-05","Spring",0,5,"No",4,"Yes","Clear",13.580849,0.441917,44.4167,19.791264,614,3819,4433
126,"2011-05-06","Spring",0,5,"No",5,"Yes","Clear",14.520849,0.474117,59,15.292482,894,3714,4608
127,"2011-05-07","Spring",0,5,"No",6,"No","Clear",16.44,0.512621,54.125,10.75015,1612,3102,4714
128,"2011-05-08","Spring",0,5,"No",0,"No","Clear",16.831651,0.518933,63.1667,5.0007125,1401,2932,4333
129,"2011-05-09","Spring",0,5,"No",1,"Yes","Clear",17.0275,0.525246,58.875,11.792,664,3698,4362
130,"2011-05-10","Spring",0,5,"No",2,"Yes","Clear",17.0275,0.522721,48.9167,7.749957,694,4109,4803
131,"2011-05-11","Spring",0,5,"No",3,"Yes","Clear",17.4975,0.5284,63.2917,8.083014,550,3632,4182
132,"2011-05-12","Spring",0,5,"No",4,"Yes","Clear",17.145,0.523363,74.75,12.707689,695,4169,4864
133,"2011-05-13","Spring",0,5,"No",5,"Yes","Few Clouds",16.0875,0.4943,86.3333,12.041575,692,3413,4105
134,"2011-05-14","Spring",0,5,"No",6,"No","Few Clouds",16.479151,0.500629,92.25,9.04165,902,2507,3409
135,"2011-05-15","Spring",0,5,"No",0,"No","Few Clouds",18.4375,0.536,86.7083,10.249593,1582,2971,4553
136,"2011-05-16","Spring",0,5,"No",1,"Yes","Clear",19.1425,0.550512,78.7917,8.500357,773,3185,3958
137,"2011-05-17","Spring",0,5,"No",2,"Yes","Few Clouds",18.398349,0.538529,83.7917,18.582718,678,3445,4123
138,"2011-05-18","Spring",0,5,"No",3,"Yes","Few Clouds",17.85,0.527158,87,13.499964,536,3319,3855
139,"2011-05-19","Spring",0,5,"No",4,"Yes","Few Clouds",16.949151,0.510742,82.9583,7.250271,735,3840,4575
140,"2011-05-20","Spring",0,5,"No",5,"Yes","Clear",17.223349,0.529042,71.9583,8.375871,909,4008,4917
141,"2011-05-21","Spring",0,5,"No",6,"No","Clear",20.3175,0.571975,62.6667,8.08355,2258,3547,5805
142,"2011-05-22","Spring",0,5,"No",0,"No","Clear",20.395849,0.5745,74.9583,9.916536,1576,3084,4660
143,"2011-05-23","Spring",0,5,"No",1,"Yes","Few Clouds",21.688349,0.590296,81,15.667414,836,3438,4274
144,"2011-05-24","Spring",0,5,"No",2,"Yes","Few Clouds",23.02,0.604813,74.0833,13.875164,659,3833,4492
145,"2011-05-25","Spring",0,5,"No",3,"Yes","Clear",23.059151,0.615542,69.625,10.333611,740,4238,4978
146,"2011-05-26","Spring",0,5,"No",4,"Yes","Clear",25.291651,0.654688,67.75,13.376014,758,3919,4677
147,"2011-05-27","Spring",0,5,"No",5,"Yes","Clear",24.038349,0.637008,65.375,16.125493,871,3808,4679
148,"2011-05-28","Spring",0,5,"No",6,"No","Clear",22.824151,0.612379,72.9583,15.416164,2001,2757,4758
149,"2011-05-29","Spring",0,5,"No",0,"No","Clear",23.3725,0.61555,81.875,14.333846,2355,2433,4788
150,"2011-05-30","Spring",0,5,"Yes",1,"No","Clear",26.466651,0.671092,68.5,8.792075,1549,2549,4098
151,"2011-05-31","Spring",0,5,"No",2,"Yes","Clear",28.425,0.725383,63.6667,7.459043,673,3309,3982
152,"2011-06-01","Spring",0,6,"No",3,"Yes","Few Clouds",27.915849,0.720967,67.7083,13.875164,513,3461,3974
153,"2011-06-02","Spring",0,6,"No",4,"Yes","Clear",25.605,0.643942,30.5,19.583229,736,4232,4968
154,"2011-06-03","Spring",0,6,"No",5,"Yes","Clear",21.14,0.587133,35.4167,16.959107,898,4414,5312
155,"2011-06-04","Spring",0,6,"No",6,"No","Clear",21.845,0.594696,45.625,8.250514,1869,3473,5342
156,"2011-06-05","Spring",0,6,"No",0,"No","Few Clouds",22.471651,0.616804,65.25,9.292364,1685,3221,4906
157,"2011-06-06","Spring",0,6,"No",1,"Yes","Clear",23.881651,0.621858,60,8.167032,673,3875,4548
158,"2011-06-07","Spring",0,6,"No",2,"Yes","Clear",25.2525,0.65595,59.7917,12.583136,763,4070,4833
159,"2011-06-08","Spring",0,6,"No",3,"Yes","Clear",28.464151,0.727279,62.2083,9.166739,676,3725,4401
160,"2011-06-09","Spring",0,6,"No",4,"Yes","Few Clouds",29.991651,0.757579,56.8333,10.042161,563,3352,3915
161,"2011-06-10","Spring",0,6,"No",5,"Yes","Clear",27.485,0.703292,60.5,9.417118,815,3771,4586
162,"2011-06-11","Spring",0,6,"No",6,"No","Clear",26.075,0.678038,65.4583,10.37495,1729,3237,4966
163,"2011-06-12","Spring",0,6,"No",0,"No","Clear",24.5475,0.643325,74.7917,10.958989,1467,2993,4460
164,"2011-06-13","Spring",0,6,"No",1,"Yes","Clear",21.845,0.601654,49.4583,20.45845,863,4157,5020
165,"2011-06-14","Spring",0,6,"No",2,"Yes","Clear",20.395849,0.591546,50.7083,18.041961,727,4164,4891
166,"2011-06-15","Spring",0,6,"No",3,"Yes","Clear",21.453349,0.587754,47.1667,11.250104,769,4411,5180
167,"2011-06-16","Spring",0,6,"No",4,"Yes","Few Clouds",21.531651,0.595346,68.8333,13.833557,545,3222,3767
168,"2011-06-17","Spring",0,6,"No",5,"Yes","Clear",22.510849,0.600383,73.5833,9.582943,863,3981,4844
169,"2011-06-18","Spring",0,6,"No",6,"No","Clear",24.743349,0.643954,67.0417,8.000336,1807,3312,5119
170,"2011-06-19","Spring",0,6,"No",0,"No","Few Clouds",24.860849,0.645846,66.6667,6.834,1639,3105,4744
171,"2011-06-20","Spring",0,6,"No",1,"Yes","Few Clouds",21.845,0.595346,74.625,10.416825,699,3311,4010
172,"2011-06-21","Summer",0,6,"No",2,"Yes","Few Clouds",23.999151,0.637646,77.0417,11.458675,774,4061,4835
173,"2011-06-22","Summer",0,6,"No",3,"Yes","Clear",26.466651,0.693829,70.75,11.541554,661,3846,4507
174,"2011-06-23","Summer",0,6,"No",4,"Yes","Few Clouds",26.231651,0.693833,70.3333,15.999868,746,4044,4790
175,"2011-06-24","Summer",0,6,"No",5,"Yes","Clear",26.035849,0.656583,57.3333,14.875675,969,4022,4991
176,"2011-06-25","Summer",0,6,"No",6,"No","Clear",24.665,0.643313,48.3333,14.041257,1782,3420,5202
177,"2011-06-26","Summer",0,6,"No",0,"No","Clear",23.96,0.637629,51.3333,6.3337311,1920,3385,5305
178,"2011-06-27","Summer",0,6,"No",1,"Yes","Few Clouds",24.0775,0.637004,65.8333,7.208396,854,3854,4708
179,"2011-06-28","Summer",0,6,"No",2,"Yes","Clear",26.975849,0.692558,63.4167,9.666961,732,3916,4648
180,"2011-06-29","Summer",0,6,"No",3,"Yes","Clear",26.231651,0.654688,49.7917,17.542007,848,4377,5225
181,"2011-06-30","Summer",0,6,"No",4,"Yes","Clear",24.743349,0.637008,43.4167,12.415904,1027,4488,5515
182,"2011-07-01","Summer",0,7,"No",5,"Yes","Clear",25.9575,0.652162,39.625,6.874736,1246,4116,5362
183,"2011-07-02","Summer",0,7,"No",6,"No","Clear",26.701651,0.667308,44.4583,7.709154,2204,2915,5119
184,"2011-07-03","Summer",0,7,"No",0,"No","Few Clouds",25.683349,0.668575,68.25,15.333486,2282,2367,4649
185,"2011-07-04","Summer",0,7,"Yes",1,"No","Few Clouds",26.153349,0.665417,63.7917,5.4591064,3065,2978,6043
186,"2011-07-05","Summer",0,7,"No",2,"Yes","Clear",27.093349,0.696338,59.0417,8.459286,1031,3634,4665
187,"2011-07-06","Summer",0,7,"No",3,"Yes","Clear",25.84,0.685633,74.3333,10.042161,784,3845,4629
188,"2011-07-07","Summer",0,7,"No",4,"Yes","Clear",27.25,0.686871,65.125,10.6664,754,3838,4592
189,"2011-07-08","Summer",0,7,"No",5,"Yes","Few Clouds",25.330849,0.670483,75.7917,15.083643,692,3348,4040
190,"2011-07-09","Summer",0,7,"No",6,"No","Clear",26.466651,0.664158,60.9167,11.250104,1988,3348,5336
191,"2011-07-10","Summer",0,7,"No",0,"No","Clear",27.1325,0.690025,57.8333,12.292557,1743,3138,4881
192,"2011-07-11","Summer",0,7,"No",1,"Yes","Clear",27.8375,0.729804,63.5833,18.916579,723,3363,4086
193,"2011-07-12","Summer",0,7,"No",2,"Yes","Clear",29.325849,0.739275,55.9167,13.417018,662,3596,4258
194,"2011-07-13","Summer",0,7,"No",3,"Yes","Clear",27.093349,0.689404,63.1667,9.790911,748,3594,4342
195,"2011-07-14","Summer",0,7,"No",4,"Yes","Clear",23.999151,0.635104,47.625,16.124689,888,4196,5084
196,"2011-07-15","Summer",0,7,"No",5,"Yes","Clear",23.176651,0.624371,59.125,12.249811,1318,4220,5538
197,"2011-07-16","Summer",0,7,"No",6,"No","Clear",24.273349,0.638263,58.5,13.958914,2418,3505,5923
198,"2011-07-17","Summer",0,7,"No",0,"No","Clear",25.800849,0.669833,60.4167,16.417211,2006,3296,5302
199,"2011-07-18","Summer",0,7,"No",1,"Yes","Clear",27.093349,0.703925,65.125,14.458868,841,3617,4458
200,"2011-07-19","Summer",0,7,"No",2,"Yes","Clear",28.503349,0.747479,65.0417,8.7502,752,3789,4541
201,"2011-07-20","Summer",0,7,"No",3,"Yes","Clear",28.111651,0.74685,70.7083,7.625739,644,3688,4332
202,"2011-07-21","Summer",0,7,"No",4,"Yes","Few Clouds",30.305,0.826371,69.125,14.875407,632,3152,3784
203,"2011-07-22","Summer",0,7,"No",5,"Yes","Clear",31.871651,0.840896,58.0417,8.9177,562,2825,3387
204,"2011-07-23","Summer",0,7,"No",6,"No","Clear",31.910849,0.804287,50,8.791807,987,2298,3285
205,"2011-07-24","Summer",0,7,"No",0,"No","Clear",31.01,0.794829,55.0833,11.334457,1050,2556,3606
206,"2011-07-25","Summer",0,7,"No",1,"Yes","Clear",26.936651,0.720958,75.7083,6.0841561,568,3272,3840
207,"2011-07-26","Summer",0,7,"No",2,"Yes","Clear",28.268349,0.696979,54.0833,13.417286,750,3840,4590
208,"2011-07-27","Summer",0,7,"No",3,"Yes","Clear",28.425,0.690667,40.2917,12.292021,755,3901,4656
209,"2011-07-28","Summer",0,7,"No",4,"Yes","Clear",28.620849,0.7399,58.3333,11.958093,606,3784,4390
210,"2011-07-29","Summer",0,7,"No",5,"Yes","Clear",31.401651,0.785967,54.25,11.667246,670,3176,3846
211,"2011-07-30","Summer",0,7,"No",6,"No","Clear",29.795849,0.728537,46.5833,11.291979,1559,2916,4475
212,"2011-07-31","Summer",0,7,"No",0,"No","Clear",29.874151,0.729796,48.0833,11.042471,1524,2778,4302
213,"2011-08-01","Summer",0,8,"No",1,"Yes","Clear",28.268349,0.703292,55.0833,10.500039,729,3537,4266
214,"2011-08-02","Summer",0,8,"No",2,"Yes","Clear",28.816651,0.707071,49.125,13.79195,801,4044,4845
215,"2011-08-03","Summer",0,8,"No",3,"Yes","Few Clouds",26.388349,0.679937,65.75,9.084061,467,3107,3574
216,"2011-08-04","Summer",0,8,"No",4,"Yes","Few Clouds",25.37,0.664788,75.75,13.20905,799,3777,4576
217,"2011-08-05","Summer",0,8,"No",5,"Yes","Clear",25.409151,0.656567,63.0833,12.374632,1023,3843,4866
218,"2011-08-06","Summer",0,8,"No",6,"No","Few Clouds",25.683349,0.676154,75.5,15.29275,1521,2773,4294
219,"2011-08-07","Summer",0,8,"No",0,"No","Clear",26.8975,0.715292,75.2917,13.499629,1298,2487,3785
220,"2011-08-08","Summer",0,8,"No",1,"Yes","Clear",27.955,0.703283,59.2083,12.875725,846,3480,4326
221,"2011-08-09","Summer",0,8,"No",2,"Yes","Clear",28.425,0.724121,57.0417,10.125107,907,3695,4602
222,"2011-08-10","Summer",0,8,"No",3,"Yes","Clear",28.033349,0.684983,42.4167,13.417286,884,3896,4780
223,"2011-08-11","Summer",0,8,"No",4,"Yes","Clear",25.7225,0.651521,42.375,11.041332,812,3980,4792
224,"2011-08-12","Summer",0,8,"No",5,"Yes","Clear",25.291651,0.654042,41.5,8.416607,1051,3854,4905
225,"2011-08-13","Summer",0,8,"No",6,"No","Few Clouds",24.234151,0.645858,72.9583,14.167418,1504,2646,4150
226,"2011-08-14","Summer",0,8,"No",0,"No","Few Clouds",23.803349,0.624388,81.75,14.916411,1338,2482,3820
227,"2011-08-15","Summer",0,8,"No",1,"Yes","Clear",23.294151,0.616167,71.2083,13.999918,775,3563,4338
228,"2011-08-16","Summer",0,8,"No",2,"Yes","Clear",24.939151,0.645837,57.8333,15.834043,721,4004,4725
229,"2011-08-17","Summer",0,8,"No",3,"Yes","Clear",25.996651,0.666671,57.5417,9.625689,668,4026,4694
230,"2011-08-18","Summer",0,8,"No",4,"Yes","Clear",25.448349,0.662258,65.4583,15.624936,639,3166,3805
